"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"141" "ARL3" "GO:0034613" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"142" "ARN2" "GO:0009237" "GO:0006879" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"143" "ARO10" "GO:0009063" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"144" "ARO2" "GO:0046394" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"145" "ARO7" "GO:0009095" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"146" "ARO80" "GO:0009074" "GO:0045944" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"147" "ARP1" "GO:0000132" "GO:0007097" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"148" "ARP2" "GO:0006200" "GO:0051646" "GO:0032258" "GO:0030476" "GO:0007015" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"149" "ARP3" "GO:0007015" "GO:0000001" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"150" "ARP4" "GO:0006281" "GO:0051382" "GO:0006325" "GO:0006355" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"151" "ARP5" "GO:0006338" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"152" "ARP6" "GO:0006338" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"153" "ARP7" "GO:0006325" "GO:0006366" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"154" "ARP8" "GO:0006259" "GO:0006338" "GO:0006974" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"155" "ARP9" "GO:0006366" "GO:0006325" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"156" "ARR3" "GO:0015698" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"157" "ARV1" "GO:0015918" "GO:0006897" "GO:0035621" "GO:0046467" "GO:0097036" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
